crop,horizon,model,task,support_positive,support_total,accuracy,precision,recall,f1_score,tn,fp,fn,tp
cauliflower,5,random_forest,target_rise_ge_5pct_h5,632,1548,0.6802325581395349,0.6356435643564357,0.5079113924050633,0.5646437994722955,732,184,311,321
cauliflower,5,ann,target_rise_ge_5pct_h5,632,1548,0.6208010335917312,0.5352112676056338,0.5411392405063291,0.5381589299763966,619,297,290,342
cauliflower,5,ridge,target_up_h5,780,1548,0.6608527131782945,0.6632522407170295,0.6641025641025641,0.6636771300448431,505,263,262,518
cauliflower,5,lightgbm,target_up_h5,780,1548,0.6589147286821705,0.6623711340206185,0.658974358974359,0.6606683804627249,506,262,266,514
cauliflower,5,xgboost,target_up_h5,780,1548,0.6518087855297158,0.6511919698870765,0.6653846153846154,0.6582117945466075,490,278,261,519
cauliflower,5,random_forest,target_up_h5,780,1548,0.6608527131782945,0.6739427012278308,0.6333333333333333,0.6530072703238599,529,239,286,494
cauliflower,5,ann,target_up_h5,780,1548,0.601421188630491,0.6048906048906049,0.6025641025641025,0.6037251123956326,461,307,310,470
cauliflower,7,lightgbm,target_rise_ge_10pct_h7,512,1548,0.7015503875968992,0.5496031746031746,0.541015625,0.5452755905511811,809,227,235,277
cauliflower,7,ridge,target_rise_ge_10pct_h7,512,1548,0.7260981912144703,0.6078431372549019,0.484375,0.5391304347826087,876,160,264,248
cauliflower,7,xgboost,target_rise_ge_10pct_h7,512,1548,0.7060723514211886,0.561822125813449,0.505859375,0.5323741007194245,834,202,253,259
cauliflower,7,random_forest,target_rise_ge_10pct_h7,512,1548,0.712532299741602,0.5852417302798982,0.44921875,0.5082872928176796,873,163,282,230
cauliflower,7,ann,target_rise_ge_10pct_h7,512,1548,0.6744186046511628,0.5114942528735632,0.34765625,0.413953488372093,866,170,334,178
cauliflower,7,lightgbm,target_rise_ge_5pct_h7,627,1548,0.6808785529715762,0.6018376722817764,0.6267942583732058,0.6140625,661,260,234,393
cauliflower,7,xgboost,target_rise_ge_5pct_h7,627,1548,0.6841085271317829,0.6123778501628665,0.5996810207336523,0.6059629331184528,683,238,251,376
cauliflower,7,ridge,target_rise_ge_5pct_h7,627,1548,0.6925064599483204,0.6355475763016158,0.5645933014354066,0.597972972972973,718,203,273,354
cauliflower,7,random_forest,target_rise_ge_5pct_h7,627,1548,0.6744186046511628,0.6132596685082873,0.5311004784688995,0.5692307692307692,711,210,294,333
cauliflower,7,ann,target_rise_ge_5pct_h7,627,1548,0.6388888888888888,0.5745614035087719,0.4178628389154705,0.4838411819021237,727,194,365,262
cauliflower,7,ridge,target_up_h7,771,1548,0.6647286821705426,0.6627906976744186,0.6653696498054474,0.6640776699029126,516,261,258,513
cauliflower,7,lightgbm,target_up_h7,771,1548,0.6479328165374677,0.6358173076923077,0.6861219195849546,0.6600124766063631,474,303,242,529
cauliflower,7,xgboost,target_up_h7,771,1548,0.6543927648578811,0.6501272264631043,0.6627756160830091,0.6563904945407836,502,275,260,511
cauliflower,7,random_forest,target_up_h7,771,1548,0.6569767441860465,0.6639344262295082,0.6303501945525292,0.6467065868263473,531,246,285,486
cauliflower,7,ann,target_up_h7,771,1548,0.6136950904392765,0.6478632478632479,0.4915693904020752,0.5589970501474927,571,206,392,379
cauliflower,14,ridge,target_rise_ge_10pct_h14,538,1548,0.7596899224806202,0.6646825396825397,0.6226765799256505,0.6429942418426103,841,169,203,335
cauliflower,14,lightgbm,target_rise_ge_10pct_h14,538,1548,0.7299741602067183,0.6003344481605352,0.6672862453531598,0.6320422535211268,771,239,179,359
cauliflower,14,xgboost,target_rise_ge_10pct_h14,538,1548,0.7306201550387597,0.6037735849056604,0.654275092936803,0.6280107047279215,779,231,186,352
cauliflower,14,random_forest,target_rise_ge_10pct_h14,538,1548,0.7351421188630491,0.6367521367521367,0.5539033457249071,0.5924453280318092,840,170,240,298
cauliflower,14,ann,target_rise_ge_10pct_h14,538,1548,0.6692506459948321,0.5311004784688995,0.41263940520446096,0.46443514644351463,814,196,316,222
cauliflower,14,ridge,target_rise_ge_5pct_h14,633,1548,0.7390180878552972,0.6775193798449612,0.6903633491311216,0.6838810641627543,707,208,196,437
cauliflower,14,lightgbm,target_rise_ge_5pct_h14,633,1548,0.7067183462532299,0.6262341325811002,0.7014218009478673,0.6616989567809239,650,265,189,444
cauliflower,14,xgboost,target_rise_ge_5pct_h14,633,1548,0.7034883720930233,0.6221910112359551,0.6998420221169036,0.6587360594795539,646,269,190,443
cauliflower,14,random_forest,target_rise_ge_5pct_h14,633,1548,0.7196382428940569,0.6689303904923599,0.6224328593996841,0.6448445171849427,720,195,239,394
cauliflower,14,ann,target_rise_ge_5pct_h14,633,1548,0.6459948320413437,0.5865580448065173,0.4549763033175355,0.5124555160142349,712,203,345,288
cauliflower,14,ridge,target_up_h14,739,1548,0.7222222222222222,0.6943396226415094,0.7469553450608931,0.7196870925684485,566,243,187,552
cauliflower,14,xgboost,target_up_h14,739,1548,0.6970284237726099,0.6610978520286396,0.7496617050067659,0.7025998731769182,525,284,185,554
cauliflower,14,lightgbm,target_up_h14,739,1548,0.6963824289405685,0.6603098927294399,0.7496617050067659,0.7021546261089987,524,285,185,554
cauliflower,14,random_forest,target_up_h14,739,1548,0.6957364341085271,0.6887323943661972,0.6617050067658998,0.6749482401656315,588,221,250,489
cauliflower,14,ann,target_up_h14,739,1548,0.6162790697674418,0.6247848537005164,0.4912043301759134,0.55,591,218,376,363
cauliflower,20,ridge,target_rise_ge_10pct_h20,552,1548,0.789405684754522,0.6921768707482994,0.7373188405797102,0.7140350877192982,815,181,145,407
cauliflower,20,random_forest,target_rise_ge_10pct_h20,552,1548,0.7558139534883721,0.6479591836734694,0.6902173913043478,0.6684210526315789,789,207,171,381
cauliflower,20,xgboost,target_rise_ge_10pct_h20,552,1548,0.7357881136950905,0.6122448979591837,0.7065217391304348,0.656013456686291,749,247,162,390
cauliflower,20,lightgbm,target_rise_ge_10pct_h20,552,1548,0.727390180878553,0.6018808777429467,0.6956521739130435,0.6453781512605042,742,254,168,384
cauliflower,20,ann,target_rise_ge_10pct_h20,552,1548,0.7131782945736435,0.6111111111111112,0.5380434782608695,0.5722543352601156,807,189,255,297
cauliflower,20,ridge,target_rise_ge_5pct_h20,644,1548,0.7758397932816538,0.71004243281471,0.7795031055900621,0.7431532198371577,699,205,142,502
cauliflower,20,random_forest,target_rise_ge_5pct_h20,644,1548,0.7474160206718347,0.683068017366136,0.7329192546583851,0.7071161048689139,685,219,172,472
cauliflower,20,xgboost,target_rise_ge_5pct_h20,644,1548,0.727390180878553,0.6476063829787234,0.7562111801242236,0.6977077363896849,639,265,157,487
cauliflower,20,lightgbm,target_rise_ge_5pct_h20,644,1548,0.727390180878553,0.6508152173913043,0.7437888198757764,0.6942028985507246,647,257,165,479
